MonthYear,Price Per Gallon
Jul-2021,3.136
Jun-2021,3.064
May-2021,2.985
Apr-2021,2.858
Mar-2021,2.81
Feb-2021,2.501
Jan-2021,2.334
Dec-2020,2.195
Nov-2020,2.108
Oct-2020,2.158
Sep-2020,2.183
Aug-2020,2.182
Jul-2020,2.183
Jun-2020,2.082
May-2020,1.87
Apr-2020,1.841
Mar-2020,2.234
Feb-2020,2.442
Jan-2020,2.548
Dec-2019,2.555
Nov-2019,2.598
Oct-2019,2.627
Sep-2019,2.592
Aug-2019,2.621
Jul-2019,2.74
Jun-2019,2.716
May-2019,2.859
Apr-2019,2.798
Mar-2019,2.516
Feb-2019,2.309
Jan-2019,2.248
Dec-2018,2.366
Nov-2018,2.647
Oct-2018,2.86
Sep-2018,2.836
Aug-2018,2.836
Jul-2018,2.849
Jun-2018,2.891
May-2018,2.901
Apr-2018,2.757
Mar-2018,2.591
Feb-2018,2.587
Jan-2018,2.555
Dec-2017,2.477
Nov-2017,2.564
Oct-2017,2.505
Sep-2017,2.645
Aug-2017,2.38
Jul-2017,2.3
Jun-2017,2.347
May-2017,2.391
Apr-2017,2.417
Mar-2017,2.325
Feb-2017,2.304
Jan-2017,2.349
Dec-2016,2.254
Nov-2016,2.182
Oct-2016,2.249
Sep-2016,2.219
Aug-2016,2.178
Jul-2016,2.239
Jun-2016,2.366
May-2016,2.268
Apr-2016,2.113
Mar-2016,1.969
Feb-2016,1.764
Jan-2016,1.949
Dec-2015,2.038
Nov-2015,2.158
Oct-2015,2.29
Sep-2015,2.365
Aug-2015,2.636
Jul-2015,2.794
Jun-2015,2.802
May-2015,2.718
Apr-2015,2.469
Mar-2015,2.464
Feb-2015,2.216
Jan-2015,2.116
Dec-2014,2.543
Nov-2014,2.912
Oct-2014,3.171
Sep-2014,3.406
Aug-2014,3.487
Jul-2014,3.611
Jun-2014,3.692
May-2014,3.673
Apr-2014,3.661
Mar-2014,3.533
Feb-2014,3.356
Jan-2014,3.313
Dec-2013,3.276
Nov-2013,3.243
Oct-2013,3.344
Sep-2013,3.532
Aug-2013,3.574
Jul-2013,3.591
Jun-2013,3.626
May-2013,3.615
Apr-2013,3.57
Mar-2013,3.711
Feb-2013,3.67
Jan-2013,3.319
Dec-2012,3.31
Nov-2012,3.452
Oct-2012,3.746
Sep-2012,3.849
Aug-2012,3.722
Jul-2012,3.439
Jun-2012,3.539
May-2012,3.732
Apr-2012,3.9
Mar-2012,3.852
Feb-2012,3.579
Jan-2012,3.38
Dec-2011,3.266
Nov-2011,3.384
Oct-2011,3.448
Sep-2011,3.611
Aug-2011,3.639
Jul-2011,3.65
Jun-2011,3.68
May-2011,3.906
Apr-2011,3.8
Mar-2011,3.561
Feb-2011,3.211
Jan-2011,3.095
Dec-2010,2.993
Nov-2010,2.859
Oct-2010,2.801
Sep-2010,2.705
Aug-2010,2.73
Jul-2010,2.729
Jun-2010,2.732
May-2010,2.836
Apr-2010,2.848
Mar-2010,2.772
Feb-2010,2.644
Jan-2010,2.715
Dec-209,2.607
Nov-209,2.651
Oct-209,2.551
Sep-209,2.554
Aug-209,2.616
Jul-209,2.527
Jun-209,2.631
May-209,2.266
Apr-209,2.049
Mar-209,1.959
Feb-209,1.923
Jan-209,1.788
Dec-208,1.687
Nov-208,2.147
Oct-208,3.051
Sep-208,3.703
Aug-208,3.779
Jul-208,4.062
Jun-208,4.054
May-208,3.766
Apr-208,3.458
Mar-208,3.244
Feb-208,3.028
Jan-208,3.043
Dec-207,3.018
Nov-207,3.08
Oct-207,2.803
Sep-207,2.803
Aug-207,2.786
Jul-207,2.965
Jun-207,3.056
May-207,3.146
Apr-207,2.845
Mar-207,2.563
Feb-207,2.278
Jan-207,2.24
Dec-206,2.313
Nov-206,2.229
Oct-206,2.245
Sep-206,2.555
Aug-206,2.952
Jul-206,2.981
Jun-206,2.885
May-206,2.907
Apr-206,2.742
Mar-206,2.425
Feb-206,2.28
Jan-206,2.316
Dec-205,2.185
Nov-205,2.257
Oct-205,2.717
Sep-205,2.903
Aug-205,2.486
Jul-205,2.29
Jun-205,2.156
May-205,2.161
Apr-205,2.243
Mar-205,2.079
Feb-205,1.91
Jan-205,1.831
Dec-204,1.841
Nov-204,1.979
Oct-204,2
Sep-204,1.87
Aug-204,1.878
Jul-204,1.911
Jun-204,1.969
May-204,1.983
Apr-204,1.798
Mar-204,1.736
Feb-204,1.648
Jan-204,1.572
Dec-203,1.479
Nov-203,1.512
Oct-203,1.564
Sep-203,1.679
Aug-203,1.62
Jul-203,1.513
Jun-203,1.493
May-203,1.497
Apr-203,1.589
Mar-203,1.693
Feb-203,1.613
Jan-203,1.458
Dec-202,1.386
Nov-202,1.419
Oct-202,1.445
Sep-202,1.4
Aug-202,1.396
Jul-202,1.397
Jun-202,1.382
May-202,1.392
Apr-202,1.397
Mar-202,1.249
Feb-202,1.114
Jan-202,1.107
Dec-201,1.086
Nov-201,1.171
Oct-201,1.315
Sep-201,1.522
Aug-201,1.421
Jul-201,1.421
Jun-201,1.616
May-201,1.702
Apr-201,1.552
Mar-201,1.409
Feb-201,1.45
Jan-201,1.447
Dec-201,1.443
Nov-201,1.517
Oct-201,1.532
Sep-201,1.55
Aug-201,1.465
Jul-201,1.551
Jun-201,1.633
May-201,1.487
Apr-201,1.465
Mar-201,1.516
Feb-201,1.377
Jan-201,1.289
Dec-201,1.273
Nov-201,1.251
Oct-201,1.244
Sep-201,1.256
Aug-201,1.221
Jul-201,1.158
Jun-201,1.114
May-201,1.131
Apr-201,1.131
Mar-201,0.982
Feb-201,0.921
Jan-201,0.939
Dec-201,0.945
Nov-201,0.995
Oct-201,1.019
Sep-201,1.009
Aug-201,1.026
Jul-201,1.055
Jun-201,1.064
May-201,1.064
Apr-201,1.03
Mar-201,1.017
Feb-201,1.049
Jan-201,1.086
Dec-201,1.131
Nov-201,1.171
Oct-201,1.197
Sep-201,1.231
Aug-201,1.224
Jul-201,1.174
Jun-201,1.198
May-201,1.2
Apr-201,1.199
Mar-201,1.205
Feb-201,1.23
Jan-201,1.236
Dec-201,1.235
Nov-201,1.232
Oct-201,1.204
Sep-201,1.202
Aug-201,1.207
Jul-201,1.227
Jun-201,1.256
May-201,1.279
Apr-201,1.231
Mar-201,1.137
Feb-201,1.089
Jan-201,1.09
Dec-201,1.071
Nov-201,1.062
Oct-201,1.087
Sep-201,1.111
Aug-201,1.123
Jul-201,1.154
Jun-201,1.192
May-201,1.178
Apr-201,1.111
Mar-201,1.072
Feb-201,1.073
Jan-201,1.082
Dec-201,1.091
Nov-201,1.116
Oct-201,1.114
Sep-201,1.144
Aug-201,1.155
Jul-201,1.106
Jun-201,1.078
May-201,1.047
Apr-201,1.027
Mar-201,1.008
Feb-201,1.009
Jan-201,0.998
Dec-201,1.014
Nov-201,1.066
Oct-201,1.092
Sep-201,1.05
Aug-201,1.062
Jul-201,1.078
Jun-201,1.097
May-201,1.1
Apr-201,1.078
Mar-201,1.052
Feb-201,1.054
Jan-201,1.062
Dec-201,1.078
Nov-201,1.111
Oct-201,1.114
Sep-201,1.122
Aug-201,1.122
Jul-201,1.137
Jun-201,1.145
May-201,1.107
Apr-201,1.052
Mar-201,1.013
Feb-201,1.006
Jan-201,1.022
Dec-201,1.076
Nov-201,1.099
Oct-201,1.088
Sep-201,1.109
Aug-201,1.115
Jul-201,1.096
Jun-201,1.128
May-201,1.126
Apr-201,1.076
Mar-201,1.04
Feb-201,1.094
Jan-201,
Dec-201,
Nov-201,1.324
Oct-201,1.335
Sep-201,1.258
